NÂ°,LATITUD,LONGITUD,DEPARTAMENTOS,PROVINCIAS,MUNICIPIOS
1,-11.321441,-68.547390,PANDO,Manuripi,Filadelfia
2,-11.321441,-68.597588,PANDO,Manuripi,Filadelfia
3,-11.338594,-68.576166,PANDO,Manuripi,Filadelfia
4,-11.338594,-68.576166,PANDO,Manuripi,Filadelfia
5,-11.338667,-68.576175,PANDO,Manuripi,Filadelfia
6,-11.338667,-68.576175,PANDO,Manuripi,Filadelfia
7,-11.370733,-68.581214,PANDO,Manuripi,Filadelfia
8,-11.370733,-68.581214,PANDO,Manuripi,Filadelfia
9,-11.370537,-68.576614,PANDO,Manuripi,Filadelfia
10,-11.370853,-68.576549,PANDO,Manuripi,Filadelfia
11,-11.370573,-68.576696,PANDO,Manuripi,Filadelfia
12,-11.370573,-68.576650,PANDO,Manuripi,Filadelfia
13,-11.360838,-68.573906,PANDO,Manuripi,Filadelfia
14,-11.360847,-68.573998,PANDO,Manuripi,Filadelfia
15,-11.360847,-68.573998,PANDO,Manuripi,Filadelfia
16,-11.360838,-68.573906,PANDO,Manuripi,Filadelfia
17,-11.360838,-68.573906,PANDO,Manuripi,Filadelfia
18,-13.650379,-63.67829,BENI,Itenez,Baures
19,-14.884677,-67.017394,BENI,Jose Ballivian,San Borja
20,-14.884668,-67.017384,BENI,Jose Ballivian,San Borja
21,-14.884658,-67.017375,BENI,Jose Ballivian,San Borja
22,-14.884649,-67.017366,BENI,Jose Ballivian,San Borja
23,-10.996184,-66.002675,BENI,Vaca diez,Riberalta
24,-10.966566,-66.048809,BENI,Vaca diez,Riberalta
25,-13.638728,-63.666765,BENI,Itenez,Baures
26,-14.86793,-67.12909,BENI,Jose Ballivian,RURRENABAQUE
27,-14.868722,-67.128739,BENI,Jose Ballivian,RURRENABAQUE
28,-17.143257,-64.811401,COCHABAMBA,Jose Carrasco,Puerto Villarroel
29,-17.143257,-64.811401,COCHABAMBA,Jose Carrasco,Puerto Villarroel
30,-16.935434,-65.351391,COCHABAMBA,Chapare,Villa Tunari
31,-16.935434,-65.351391,COCHABAMBA,Chapare,Villa Tunari
32,-16.935434,-65.351391,COCHABAMBA,Chapare,Villa Tunari
33,-16.884097,-65.21205,COCHABAMBA,Tiraque,Shinahota
34,-16.883922,-65.210697,COCHABAMBA,Tiraque,Shinahota